,13263660860,13263513849,13249117061,13245953467,13239748413,13239710119,13239676771,13237754403,13237808350,13237797264,13237763648,13237765133,13237751174,13237465898,13237529736,13237464563,13237445953,13237375572,13237356060,Image number
0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,76
1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,77
2,True,True,True,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,78
3,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,79
4,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,80
5,True,True,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,81
6,False,False,True,False,False,True,False,True,True,True,True,True,False,True,False,False,False,True,True,82
7,False,False,True,False,False,True,False,True,True,True,False,True,True,True,False,False,False,True,False,83
8,True,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,84
9,True,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,85
10,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,86
11,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,87
12,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,88
13,True,True,True,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,89
14,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,True,90
15,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,91
16,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,92
17,True,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,93
18,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,94
19,True,False,True,False,False,True,False,False,False,True,True,False,True,True,False,False,False,True,False,95
20,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,96
21,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,True,True,97
22,True,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,98
23,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,True,True,99
24,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,100
